Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/dag_spread_40k
Start Training: simple_spread_v3 | Mode: DAG | Agents: 3
Ep 3600 | Avg Score: -235.52 | Noise: 0.88 | Time: 5514s
Ep 3650 | Avg Score: -225.40 | Noise: 0.88 | Time: 5589s
Ep 3700 | Avg Score: -228.35 | Noise: 0.88 | Time: 5666s
Ep 3750 | Avg Score: -219.89 | Noise: 0.88 | Time: 5743s
Ep 3800 | Avg Score: -210.74 | Noise: 0.87 | Time: 5820s
Ep 3850 | Avg Score: -193.69 | Noise: 0.87 | Time: 5897s
Ep 3900 | Avg Score: -183.93 | Noise: 0.87 | Time: 5974s
Ep 3950 | Avg Score: -188.51 | Noise: 0.87 | Time: 6050s
Ep 4000 | Avg Score: -181.07 | Noise: 0.87 | Time: 6126s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 4050 | Avg Score: -186.28 | Noise: 0.86 | Time: 6203s
Ep 4100 | Avg Score: -186.70 | Noise: 0.86 | Time: 6280s
Ep 4150 | Avg Score: -182.53 | Noise: 0.86 | Time: 6357s
Ep 4200 | Avg Score: -180.94 | Noise: 0.86 | Time: 6434s
Ep 4250 | Avg Score: -170.02 | Noise: 0.86 | Time: 6511s
Ep 4300 | Avg Score: -169.34 | Noise: 0.86 | Time: 6587s
Ep 4350 | Avg Score: -179.99 | Noise: 0.85 | Time: 6664s
Ep 4400 | Avg Score: -179.46 | Noise: 0.85 | Time: 6741s
Ep 4450 | Avg Score: -183.71 | Noise: 0.85 | Time: 6819s
Ep 4500 | Avg Score: -180.48 | Noise: 0.85 | Time: 6897s
Ep 4550 | Avg Score: -171.67 | Noise: 0.85 | Time: 6974s
Ep 4600 | Avg Score: -173.23 | Noise: 0.85 | Time: 7052s
Ep 4650 | Avg Score: -173.81 | Noise: 0.84 | Time: 7129s
Ep 4700 | Avg Score: -174.50 | Noise: 0.84 | Time: 7206s
Ep 4750 | Avg Score: -176.55 | Noise: 0.84 | Time: 7283s
Ep 4800 | Avg Score: -177.89 | Noise: 0.84 | Time: 7360s
Ep 4850 | Avg Score: -167.72 | Noise: 0.84 | Time: 7437s
Ep 4900 | Avg Score: -163.00 | Noise: 0.84 | Time: 7514s
Ep 4950 | Avg Score: -173.99 | Noise: 0.83 | Time: 7591s
Ep 5000 | Avg Score: -171.81 | Noise: 0.83 | Time: 7667s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 5050 | Avg Score: -160.19 | Noise: 0.83 | Time: 7744s
Ep 5100 | Avg Score: -157.77 | Noise: 0.83 | Time: 7821s
Ep 5150 | Avg Score: -157.07 | Noise: 0.83 | Time: 7898s
Ep 5200 | Avg Score: -160.90 | Noise: 0.83 | Time: 7975s
Ep 5250 | Avg Score: -163.40 | Noise: 0.82 | Time: 8052s
Ep 5300 | Avg Score: -164.34 | Noise: 0.82 | Time: 8129s
Ep 5350 | Avg Score: -160.97 | Noise: 0.82 | Time: 8205s
Ep 5400 | Avg Score: -157.56 | Noise: 0.82 | Time: 8282s
Ep 5450 | Avg Score: -160.40 | Noise: 0.82 | Time: 8358s
Ep 5500 | Avg Score: -160.82 | Noise: 0.82 | Time: 8435s
Ep 5550 | Avg Score: -167.65 | Noise: 0.81 | Time: 8511s
Ep 5600 | Avg Score: -171.80 | Noise: 0.81 | Time: 8587s
Ep 5650 | Avg Score: -171.41 | Noise: 0.81 | Time: 8665s
Ep 5700 | Avg Score: -174.50 | Noise: 0.81 | Time: 8743s
Ep 5750 | Avg Score: -181.93 | Noise: 0.81 | Time: 8820s
Ep 5800 | Avg Score: -193.41 | Noise: 0.81 | Time: 8897s
Ep 5850 | Avg Score: -188.14 | Noise: 0.80 | Time: 8975s
Ep 5900 | Avg Score: -167.24 | Noise: 0.80 | Time: 9050s
Ep 5950 | Avg Score: -166.54 | Noise: 0.80 | Time: 9120s
Ep 6000 | Avg Score: -169.21 | Noise: 0.80 | Time: 9195s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 6050 | Avg Score: -163.85 | Noise: 0.80 | Time: 9271s
Ep 6100 | Avg Score: -169.87 | Noise: 0.80 | Time: 9348s
Ep 6150 | Avg Score: -170.26 | Noise: 0.80 | Time: 9425s
Ep 6200 | Avg Score: -170.79 | Noise: 0.79 | Time: 9502s
Ep 6250 | Avg Score: -169.12 | Noise: 0.79 | Time: 9579s
Ep 6300 | Avg Score: -167.06 | Noise: 0.79 | Time: 9656s
Ep 6350 | Avg Score: -169.35 | Noise: 0.79 | Time: 9734s
Ep 6400 | Avg Score: -167.57 | Noise: 0.79 | Time: 9811s
Ep 6450 | Avg Score: -162.23 | Noise: 0.79 | Time: 9887s
Ep 6500 | Avg Score: -158.56 | Noise: 0.78 | Time: 9964s
Ep 6550 | Avg Score: -159.82 | Noise: 0.78 | Time: 10041s
Ep 6600 | Avg Score: -165.59 | Noise: 0.78 | Time: 10119s
Ep 6650 | Avg Score: -166.83 | Noise: 0.78 | Time: 10195s
Ep 6700 | Avg Score: -169.22 | Noise: 0.78 | Time: 10272s
Ep 6750 | Avg Score: -180.99 | Noise: 0.78 | Time: 10349s
Ep 6800 | Avg Score: -176.11 | Noise: 0.77 | Time: 10425s
