error: XDG_RUNTIME_DIR not set in the environment.
error: XDG_RUNTIME_DIR not set in the environment.
Training using device: cuda
Creating test environment 'simple_tag_v3' to get agent information...
Original action sizes: [5, 5, 5, 5]
Original observation sizes: [16, 16, 16, 14]
Action bounds for each agent:
  ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']: [[0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_tag_v3
Padded action sizes: [5, 5, 5, 5]
Padded observation sizes: [16, 16, 16, 16]
Environment: simple_tag_v3
Number of agents: 4
Agent names: ['adversary_0', 'adversary_1', 'adversary_2', 'agent_0']
Creating single 'simple_tag_v3' environment...
Agent Groups: [0, 0, 0, 1]
📁 Training data will be saved to: ./runs/simple_tag_v3/dag_tag_60k
Start Training: simple_tag_v3 | Mode: DAG | Agents: 4
Ep 3500 | Avg Score: 6.55 | Noise: 0.88 | Time: 8860s
Ep 3550 | Avg Score: 7.22 | Noise: 0.88 | Time: 8980s
Ep 3600 | Avg Score: 4.14 | Noise: 0.88 | Time: 9098s
Ep 3650 | Avg Score: 1.52 | Noise: 0.88 | Time: 9216s
Ep 3700 | Avg Score: 0.62 | Noise: 0.88 | Time: 9336s
Ep 3750 | Avg Score: 3.59 | Noise: 0.88 | Time: 9455s
Ep 3800 | Avg Score: 3.96 | Noise: 0.87 | Time: 9573s
Ep 3850 | Avg Score: 2.04 | Noise: 0.87 | Time: 9693s
Ep 3900 | Avg Score: -0.05 | Noise: 0.87 | Time: 9812s
Ep 3950 | Avg Score: -1.70 | Noise: 0.87 | Time: 9932s
Ep 4000 | Avg Score: 0.97 | Noise: 0.87 | Time: 10051s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 4050 | Avg Score: 5.14 | Noise: 0.86 | Time: 10170s
Ep 4100 | Avg Score: 5.80 | Noise: 0.86 | Time: 10288s
Ep 4150 | Avg Score: 3.25 | Noise: 0.86 | Time: 10408s
Ep 4200 | Avg Score: 7.01 | Noise: 0.86 | Time: 10539s
Ep 4250 | Avg Score: 8.13 | Noise: 0.86 | Time: 10674s
Ep 4300 | Avg Score: 7.16 | Noise: 0.86 | Time: 10808s
Ep 4350 | Avg Score: 11.14 | Noise: 0.85 | Time: 10942s
Ep 4400 | Avg Score: 9.21 | Noise: 0.85 | Time: 11075s
Ep 4450 | Avg Score: 3.43 | Noise: 0.85 | Time: 11212s
Ep 4500 | Avg Score: 2.19 | Noise: 0.85 | Time: 11345s
Ep 4550 | Avg Score: 3.97 | Noise: 0.85 | Time: 11463s
Ep 4600 | Avg Score: 3.65 | Noise: 0.85 | Time: 11582s
Ep 4650 | Avg Score: 1.64 | Noise: 0.84 | Time: 11701s
Ep 4700 | Avg Score: 6.47 | Noise: 0.84 | Time: 11820s
Ep 4750 | Avg Score: 11.02 | Noise: 0.84 | Time: 11938s
Ep 4800 | Avg Score: 5.73 | Noise: 0.84 | Time: 12057s
Ep 4850 | Avg Score: 6.60 | Noise: 0.84 | Time: 12175s
Ep 4900 | Avg Score: 13.58 | Noise: 0.84 | Time: 12293s
Ep 4950 | Avg Score: 10.48 | Noise: 0.83 | Time: 12412s
Ep 5000 | Avg Score: 4.98 | Noise: 0.83 | Time: 12527s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 5050 | Avg Score: 3.61 | Noise: 0.83 | Time: 12646s
Ep 5100 | Avg Score: 4.29 | Noise: 0.83 | Time: 12764s
Ep 5150 | Avg Score: 3.03 | Noise: 0.83 | Time: 12885s
Ep 5200 | Avg Score: -0.54 | Noise: 0.83 | Time: 13004s
Ep 5250 | Avg Score: 0.61 | Noise: 0.82 | Time: 13123s
Ep 5300 | Avg Score: 3.05 | Noise: 0.82 | Time: 13243s
Ep 5350 | Avg Score: 4.59 | Noise: 0.82 | Time: 13363s
Ep 5400 | Avg Score: 2.84 | Noise: 0.82 | Time: 13483s
Ep 5450 | Avg Score: 5.95 | Noise: 0.82 | Time: 13604s
Ep 5500 | Avg Score: 12.60 | Noise: 0.82 | Time: 13726s
Ep 5550 | Avg Score: 6.26 | Noise: 0.81 | Time: 13847s
Ep 5600 | Avg Score: 5.18 | Noise: 0.81 | Time: 13968s
Ep 5650 | Avg Score: 9.72 | Noise: 0.81 | Time: 14087s
Ep 5700 | Avg Score: 7.51 | Noise: 0.81 | Time: 14206s
Ep 5750 | Avg Score: 5.27 | Noise: 0.81 | Time: 14324s
Ep 5800 | Avg Score: 5.61 | Noise: 0.81 | Time: 14443s
Ep 5850 | Avg Score: 11.19 | Noise: 0.80 | Time: 14561s
Ep 5900 | Avg Score: 11.94 | Noise: 0.80 | Time: 14679s
Ep 5950 | Avg Score: 11.79 | Noise: 0.80 | Time: 14797s
Ep 6000 | Avg Score: 10.73 | Noise: 0.80 | Time: 14916s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 6050 | Avg Score: 12.02 | Noise: 0.80 | Time: 15036s
Ep 6100 | Avg Score: 8.86 | Noise: 0.80 | Time: 15155s
Ep 6150 | Avg Score: 5.03 | Noise: 0.80 | Time: 15274s
Ep 6200 | Avg Score: 7.38 | Noise: 0.79 | Time: 15392s
Ep 6250 | Avg Score: 4.75 | Noise: 0.79 | Time: 15511s
Ep 6300 | Avg Score: 5.35 | Noise: 0.79 | Time: 15628s
Ep 6350 | Avg Score: 13.39 | Noise: 0.79 | Time: 15747s
Ep 6400 | Avg Score: 17.35 | Noise: 0.79 | Time: 15865s
Ep 6450 | Avg Score: 10.41 | Noise: 0.79 | Time: 15982s
Ep 6500 | Avg Score: 5.25 | Noise: 0.78 | Time: 16100s
Ep 6550 | Avg Score: 5.51 | Noise: 0.78 | Time: 16218s
Ep 6600 | Avg Score: 5.79 | Noise: 0.78 | Time: 16336s
Ep 6650 | Avg Score: 7.18 | Noise: 0.78 | Time: 16455s
Ep 6700 | Avg Score: 9.78 | Noise: 0.78 | Time: 16574s
Ep 6750 | Avg Score: 7.64 | Noise: 0.78 | Time: 16693s
Ep 6800 | Avg Score: 7.33 | Noise: 0.77 | Time: 16823s
Ep 6850 | Avg Score: 8.38 | Noise: 0.77 | Time: 17081s
Ep 6900 | Avg Score: 9.45 | Noise: 0.77 | Time: 17357s
Ep 6950 | Avg Score: 12.07 | Noise: 0.77 | Time: 17629s
Ep 7000 | Avg Score: 14.90 | Noise: 0.77 | Time: 17926s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 7050 | Avg Score: 16.20 | Noise: 0.77 | Time: 18146s
Ep 7100 | Avg Score: 11.09 | Noise: 0.76 | Time: 18277s
Ep 7150 | Avg Score: 14.37 | Noise: 0.76 | Time: 18508s
Ep 7200 | Avg Score: 22.09 | Noise: 0.76 | Time: 18790s
Ep 7250 | Avg Score: 21.28 | Noise: 0.76 | Time: 19091s
Ep 7300 | Avg Score: 14.85 | Noise: 0.76 | Time: 19386s
Ep 7350 | Avg Score: 11.88 | Noise: 0.76 | Time: 19682s
Ep 7400 | Avg Score: 13.70 | Noise: 0.75 | Time: 19972s
Ep 7450 | Avg Score: 10.64 | Noise: 0.75 | Time: 20256s
Ep 7500 | Avg Score: 11.29 | Noise: 0.75 | Time: 20541s
Ep 7550 | Avg Score: 16.35 | Noise: 0.75 | Time: 20831s
Ep 7600 | Avg Score: 23.60 | Noise: 0.75 | Time: 21119s
Ep 7650 | Avg Score: 23.76 | Noise: 0.74 | Time: 21415s
Ep 7700 | Avg Score: 14.41 | Noise: 0.74 | Time: 21653s
Ep 7750 | Avg Score: 8.77 | Noise: 0.74 | Time: 21773s
Ep 7800 | Avg Score: 12.99 | Noise: 0.74 | Time: 21891s
Ep 7850 | Avg Score: 15.60 | Noise: 0.74 | Time: 22008s
Ep 7900 | Avg Score: 17.45 | Noise: 0.74 | Time: 22127s
Ep 7950 | Avg Score: 19.74 | Noise: 0.73 | Time: 22244s
Ep 8000 | Avg Score: 21.79 | Noise: 0.73 | Time: 22362s
Models saved to ./runs/simple_tag_v3/dag_tag_60k/model.pt
Ep 8050 | Avg Score: 29.45 | Noise: 0.73 | Time: 22480s
Ep 8100 | Avg Score: 32.05 | Noise: 0.73 | Time: 22598s
Ep 8150 | Avg Score: 25.87 | Noise: 0.73 | Time: 22715s
Ep 8200 | Avg Score: 27.22 | Noise: 0.73 | Time: 22833s
Ep 8250 | Avg Score: 36.51 | Noise: 0.72 | Time: 22951s
