Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/dag_adv_40k
Start Training: simple_adversary_v3 | Mode: DAG | Agents: 3
Ep 3600 | Avg Score: 10.28 | Noise: 0.88 | Time: 5577s
Ep 3650 | Avg Score: 14.08 | Noise: 0.88 | Time: 5655s
Ep 3700 | Avg Score: 11.13 | Noise: 0.88 | Time: 5730s
Ep 3750 | Avg Score: 7.68 | Noise: 0.88 | Time: 5808s
Ep 3800 | Avg Score: 6.52 | Noise: 0.87 | Time: 5886s
Ep 3850 | Avg Score: 14.47 | Noise: 0.87 | Time: 5964s
Ep 3900 | Avg Score: 19.26 | Noise: 0.87 | Time: 6042s
Ep 3950 | Avg Score: 13.18 | Noise: 0.87 | Time: 6120s
Ep 4000 | Avg Score: 11.70 | Noise: 0.87 | Time: 6197s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 4050 | Avg Score: 8.53 | Noise: 0.86 | Time: 6275s
Ep 4100 | Avg Score: 8.79 | Noise: 0.86 | Time: 6353s
Ep 4150 | Avg Score: 10.09 | Noise: 0.86 | Time: 6430s
Ep 4200 | Avg Score: 1.94 | Noise: 0.86 | Time: 6508s
Ep 4250 | Avg Score: -4.83 | Noise: 0.86 | Time: 6586s
Ep 4300 | Avg Score: -3.23 | Noise: 0.86 | Time: 6662s
Ep 4350 | Avg Score: 3.61 | Noise: 0.85 | Time: 6740s
Ep 4400 | Avg Score: 7.72 | Noise: 0.85 | Time: 6816s
Ep 4450 | Avg Score: 4.90 | Noise: 0.85 | Time: 6893s
Ep 4500 | Avg Score: 1.35 | Noise: 0.85 | Time: 6970s
Ep 4550 | Avg Score: -4.48 | Noise: 0.85 | Time: 7046s
Ep 4600 | Avg Score: -6.00 | Noise: 0.85 | Time: 7123s
Ep 4650 | Avg Score: 1.34 | Noise: 0.84 | Time: 7199s
Ep 4700 | Avg Score: 6.58 | Noise: 0.84 | Time: 7277s
Ep 4750 | Avg Score: 4.78 | Noise: 0.84 | Time: 7352s
Ep 4800 | Avg Score: 2.48 | Noise: 0.84 | Time: 7429s
Ep 4850 | Avg Score: 1.54 | Noise: 0.84 | Time: 7506s
Ep 4900 | Avg Score: 3.00 | Noise: 0.84 | Time: 7583s
Ep 4950 | Avg Score: 6.05 | Noise: 0.83 | Time: 7661s
Ep 5000 | Avg Score: 12.58 | Noise: 0.83 | Time: 7738s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 5050 | Avg Score: 13.67 | Noise: 0.83 | Time: 7815s
Ep 5100 | Avg Score: 4.82 | Noise: 0.83 | Time: 7892s
Ep 5150 | Avg Score: 5.75 | Noise: 0.83 | Time: 7969s
Ep 5200 | Avg Score: 7.95 | Noise: 0.83 | Time: 8047s
Ep 5250 | Avg Score: 4.34 | Noise: 0.82 | Time: 8124s
Ep 5300 | Avg Score: 2.33 | Noise: 0.82 | Time: 8201s
Ep 5350 | Avg Score: 0.86 | Noise: 0.82 | Time: 8278s
Ep 5400 | Avg Score: 2.07 | Noise: 0.82 | Time: 8356s
Ep 5450 | Avg Score: 0.56 | Noise: 0.82 | Time: 8433s
Ep 5500 | Avg Score: -4.73 | Noise: 0.82 | Time: 8511s
Ep 5550 | Avg Score: -10.99 | Noise: 0.81 | Time: 8588s
Ep 5600 | Avg Score: -4.09 | Noise: 0.81 | Time: 8666s
Ep 5650 | Avg Score: 8.47 | Noise: 0.81 | Time: 8744s
Ep 5700 | Avg Score: 10.56 | Noise: 0.81 | Time: 8822s
Ep 5750 | Avg Score: 14.13 | Noise: 0.81 | Time: 8900s
Ep 5800 | Avg Score: 14.81 | Noise: 0.81 | Time: 8977s
Ep 5850 | Avg Score: 19.14 | Noise: 0.80 | Time: 9055s
Ep 5900 | Avg Score: 22.76 | Noise: 0.80 | Time: 9132s
Ep 5950 | Avg Score: 19.45 | Noise: 0.80 | Time: 9210s
Ep 6000 | Avg Score: 23.53 | Noise: 0.80 | Time: 9288s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 6050 | Avg Score: 21.45 | Noise: 0.80 | Time: 9365s
Ep 6100 | Avg Score: 17.11 | Noise: 0.80 | Time: 9443s
Ep 6150 | Avg Score: 18.81 | Noise: 0.80 | Time: 9519s
Ep 6200 | Avg Score: 13.17 | Noise: 0.79 | Time: 9597s
Ep 6250 | Avg Score: 12.05 | Noise: 0.79 | Time: 9674s
Ep 6300 | Avg Score: 12.68 | Noise: 0.79 | Time: 9752s
Ep 6350 | Avg Score: 10.41 | Noise: 0.79 | Time: 9830s
Ep 6400 | Avg Score: 13.00 | Noise: 0.79 | Time: 9908s
Ep 6450 | Avg Score: 6.18 | Noise: 0.79 | Time: 9986s
Ep 6500 | Avg Score: 1.26 | Noise: 0.78 | Time: 10063s
Ep 6550 | Avg Score: 4.63 | Noise: 0.78 | Time: 10141s
Ep 6600 | Avg Score: 7.38 | Noise: 0.78 | Time: 10218s
Ep 6650 | Avg Score: 15.31 | Noise: 0.78 | Time: 10296s
Ep 6700 | Avg Score: 11.81 | Noise: 0.78 | Time: 10372s
Ep 6750 | Avg Score: 3.18 | Noise: 0.78 | Time: 10449s
Ep 6800 | Avg Score: 3.73 | Noise: 0.77 | Time: 10527s
